SIA SAM,FISH,WBY,REGION,YEAR,DAY,TAXON,COMP,FLEN,TLEN,RWT,Tissue,Check,Del 15N,Del 13C,C/N,Comments
20081,.,Deer,West-End,2018,18-Sep,SNAIL,1,.,.,6.12,VISCERA,V,0.99,-15.54,4.43,Lymnaeidae
20082,.,Deer,West-End,2018,18-Sep,SNAIL,5,.,.,0.25,VISCERA,V,0.79,-18.91,4.89,Physidae
20083,.,Deer,West-End,2018,18-Sep,SNAIL,5,.,.,0.2,VISCERA,V,0.86,-18.27,4.86,Physidae
20084,.,Deer,McIntosh-Bay,2018,18-Sep,SNAIL,1,.,.,3.46,VISCERA,V,0.51,-13.17,4.5,Lymnaeidae
20085,.,Deer,McIntosh-Bay,2018,18-Sep,SNAIL,1,.,.,4.19,VISCERA,V,1.17,-14.4,4.35,Lymnaeidae
20086,.,Deer,McIntosh-Bay,2018,18-Sep,SNAIL,1,.,.,5.8,VISCERA,V,0.21,-12.53,4.35,Lymnaeidae
20087,.,Deer,McIntosh-Bay,2018,18-Sep,SNAIL,1,.,.,3.41,VISCERA,V,0.63,-13.79,4.39,Lymnaeidae
20088,.,Deer,McIntosh-Bay,2018,18-Sep,SNAIL,1,.,.,6.38,VISCERA,V,0.32,-13.58,4.22,Lymnaeidae
20089,.,Deer,McIntosh-Bay,2018,18-Sep,SNAIL,1,.,.,3.51,VISCERA,V,0.62,-13.99,4.35,Lymnaeidae
20090,.,Deer,McIntosh-Bay,2018,18-Sep,SNAIL,1,.,.,3.43,VISCERA,V,1.14,-12.15,5.22,Planorbidae
20091,.,Deer,McIntosh-Bay,2018,18-Sep,SNAIL,8,.,.,0.29,VISCERA,V,0.5,-13.98,4.68,Physidae
20092,.,Deer,McIntosh-Bay,2018,18-Sep,SNAIL,9,.,.,0.29,VISCERA,V,0.47,-13.89,4.73,Physidae
22332,1,Donald,.,2020,23-Aug,LT,1,340,376,300,MUSCLE,V,7.58,-29.33,3.32,.
22333,4,Donald,.,2020,23-Aug,LT,1,554,611,2260,MUSCLE,V,8.7,-28.01,4.59,clipped (stocked)
22334,5,Donald,.,2020,23-Aug,LT,1,520,572,1700,MUSCLE,V,8.13,-26.62,3.6,clipped (stocked)
22335,7,Donald,.,2020,23-Aug,LT,1,379,420,550,MUSCLE,V,7.01,-27.27,3.29,.
22336,15,Donald,.,2020,23-Aug,LT,1,212,234,89,MUSCLE,V,7.54,-30.05,3.28,.
22337,16,Donald,.,2020,23-Aug,LT,1,498,541,1240,MUSCLE,V,8.49,-27.05,3.36,clipped (stocked)
22338,24,Donald,.,2020,23-Aug,LT,1,494,543,1200,MUSCLE,V,7.56,-27.57,3.38,.
22339,28,Donald,.,2020,23-Aug,LT,1,254,278,150,MUSCLE,V,6.65,-27.82,3.23,.
22340,29,Donald,.,2020,23-Aug,LT,1,415,464,890,MUSCLE,V,7.05,-27.41,3.33,.
22341,30,Donald,.,2020,23-Aug,LT,1,398,443,620,MUSCLE,V,7.09,-27.2,3.33,.
22531,12,Donald,.,2020,23-Aug,LT,1,172,189,46.2,MUSCLE,V,7.06,-28.86,3.25,.
22532,14,Donald,.,2020,23-Aug,LT,1,154,170,38.7,MUSCLE,V,7.27,-29.01,3.26,.
22533,26,Donald,.,2020,23-Aug,LT,1,192,213,75.4,MUSCLE,V,7.93,-29.67,3.3,.
22534,27,Donald,.,2020,23-Aug,LT,1,178,193,56.6,MUSCLE,V,8.04,-29.62,3.47,.
23321,.,Donald,.,2020,23-Aug,CRAYFISH,1,.,.,5.07,MUSCLE,V,4,-23.74,3.28,.
23964,.,Donald,.,2020,23-Aug,HEPTAGEN,.,.,.,.,BODY,V,-0.86,-23.51,4.19,.
17250,106-00-001,Eagle-1,Zone1,2016,07-Jul,LT,1,.,785,4877,MUSCLE,V,11.59,-27.99,4.46,.
17251,106-00-002,Eagle-1,Zone1,2016,07-Jul,LT,1,.,816,5238,MUSCLE,V,12.14,-27.73,4.82,.
17252,200-00-001,Eagle-1,Zone1,2016,07-Jul,LT,1,.,776,5271,MUSCLE,V,11.96,-28.43,4.6,.
17253,200-00-002,Eagle-1,Zone1,2016,07-Jul,LT,1,.,765,4345,MUSCLE,V,11.27,-26.39,3.3,.
17254,205-00-001,Eagle-1,Zone1,2016,07-Jul,LT,1,.,825,5670,MUSCLE,V,11.82,-27.12,3.47,.
17255,205-00-002,Eagle-1,Zone1,2016,07-Jul,LT,1,.,955,8029,MUSCLE,V,12.14,-24.89,3.17,.
17256,208-00-001,Eagle-1,Zone1,2016,07-Jul,LT,1,.,774,4735,MUSCLE,V,11.8,-27.45,4.3,.
19563,.,Eagle-1,Zone1,2016,.,CLAM,1,.,44,7.2,MUSCLE,V,1.76,-27.52,4.52,.
19564,.,Eagle-1,Zone1,2016,.,CLAM,1,.,57,22.1,MUSCLE,V,2.11,-28.13,4.04,.
19565,.,Eagle-1,Zone1,2016,.,CLAM,1,.,76,48.8,MUSCLE,V,2.91,-28.18,3.81,.
19566,.,Eagle-1,Zone1,2016,.,CLAM,1,.,83,83.5,MUSCLE,V,2.57,-28.02,3.79,.
17976,2,Eagle-1,Zone1,2017,.,LT,1,.,882,6400,MUSCLE,V,11.58,-26.51,3.65,.
17977,10,Eagle-1,Zone1,2017,.,LT,1,.,836,5450,MUSCLE,V,12.02,-27.32,3.67,.
17978,11,Eagle-1,Zone1,2017,.,LT,1,.,830,5000,MUSCLE,V,12.37,-26.71,3.82,.
17979,18,Eagle-1,Zone1,2017,.,LT,1,.,770,4800,MUSCLE,V,11.17,-26.2,3.5,.
17980,19,Eagle-1,Zone1,2017,.,LT,1,.,809,6100,MUSCLE,V,11.86,-27.14,3.88,.
19567,.,Eagle-1,Zone1,2017,.,CLAM,1,.,35,4.9,MUSCLE,V,2.73,-27.83,4.55,.
19568,.,Eagle-1,Zone1,2017,.,CLAM,1,.,37,6.7,MUSCLE,V,3.19,-27.89,4.59,.
19569,.,Eagle-1,Zone1,2017,.,CLAM,1,.,45,9,MUSCLE,V,3.43,-28.56,5.8,.
19570,.,Eagle-1,Zone1,2017,.,CLAM,1,.,52,12.5,MUSCLE,V,3.44,-28.11,4.5,.
