WATERBODY_LID,FN2_WBY,WATERBODY_NAME,Type,UTM_DATUM,UTM_ZONE,UTM_NORTHING,UTM_EASTING,LAT,LON,LATITUDE,LONGITUDE,District,FMZ,REGION,SRFAREA,SECCHI,DEPMN,DEPMAX,MEI,TDS,GDD_90_04,Primary_Watershed,Secondary_Watershed,Tertiary_Watershed,Alternate_Name
15-6723-53466,5PA0712,Northern Light,Lake,NAD27,15,5346596,672282,481504,904045,48.25,-90.68,,6,NWR,6869.80,3.40,8.4,39.7,3.2,,1482.07,,,,
15-3726-54565,5P,of the Woods,Lake,NAD27,15,5456472,372600,491459,944502,49.25,-94.75,,5,NWR,246718.00,7.20,7.9,68.8,16.4,138,1689.200,,,,
16-4960-55853,4JF1403,O'Sullivan,Lake,NAD27,16,5585298,495974,502518,870324,50.42,-87.06,,2,NWR,4292.50,3.70,8.4,45.7,15.4,.,1332.73,,,,
16-5657-55074,4JD0609,Pagwachuan,Lake,NAD27,16,5507402,565700,494303,860519,49.72,-86.09,,7,NER,2714.80,5.50,18.8,54.9,.,.,1340.33,,,,
17-4743-51217,ON29769,Panache,Lake,NAD27,17,5121661,474305,461500,812000,46.25,-81.33,35D,10,NER,8006.10,6.90,15.38,56.4,.,.,1729.27,2,02C,02CH,
17-5176-52025,2DA0404,Paradise,Lake,NAD27,17,5202471,517557,465839,804609,46.98,-80.77,,10,NER,487.40,11.00,8.2,35,3.5,,1700.27,,,,
17-5352-51958,2DC0138,Pedro,Lake,NAD27,17,5195758,535197,465459,803216,46.92,-80.54,35D,10,NER,63.80,5.30,6.4,11,4.5,,1706.20,,02D,02DC,
17-3371-52041,2CB0317,Peshu,Lake,NAD27,17,5204053,337133,465819,830828,46.97,-83.14,,10,NER,388.50,6.10,18,50.6,1.8,.,1616.80,2,02C,02CB,
15-6146-53867,5PA0320,Pickerel-1,Lake,NAD27,15,5386688,614631,483729,912640,48.62,-91.44,12D,5,NWR,6058.80,4.00,17.7,80.4,1.2,21,1625.27,5,05P,05PA,
17-6031-52053,2JE1518,Rabbit-Cassels,Lake,NAD27,17,5205313,603090,465943,793839,47.00,-79.64,,11,NER,2106.00,5.80,14.2,42.7,4.4,,1709.200,,,,
17-5180-53389,4MD0627,Radisson,Lake,NAD27,17,5338926,517997,481219,804528,48.21,-80.76,,8,NER,543.50,4.50,14.4,54.3,3.1,,1525.47,,,,
17-6079-53230,2JC0417,Raven,Lake,NAD27,17,5322993,607910,480311,793307,48.05,-79.55,25D,8,NER,616.70,2.90,19,46.9,4.4,.,1594.13,2,02J,02JC,
17-5330-51961,2DC0217,Rawson,Lake,NAD27,17,5196147,532973,465512,803401,46.92,-80.57,,10,NER,158.60,4.50,5.6,26,5.2,.,1706.60,,,,
17-5972-52300,2JE1542,Rib,Lake,NAD27,17,5229976,597150,471305,794301,47.22,-79.72,,11,NER,682.00,5.40,16.4,44.8,3.2,,1669.33,,,,
17-3767-53044,4LC0704,Rollo,Lake,NAD27,17,5304369,376720,475258,823856,47.88,-82.65,,8,NER,983.80,3.80,14.5,53,4.7,,1468.53,,,,
17-6112-50030,2EB0511,Rosseau,Lake,NAD27,17,5003024,611189,451026,793506,45.17,-79.58,,15,SR,6374.40,5.50,23.2,90,1.5,33.4,1793.87,,,,
17-4302-51759,2CE0705,Rushbrook,Lake,NAD27,17,5175872,430240,464405,815447,46.73,-81.91,,10,NER,174.00,5.30,7.3,19.8,4,,1694.20,5,1,,1
