"","Lake_Name","Trophic_Category","Taxonomic_ID_Code","d15N","d13C","d13C_Cor","SI_ID","Trophic_Group"
"69","Canoe_K","MUSSEL","mussel",2.94576863892352,"-29.9721268602817",-28.5588763456925,"CAN030","Mussel"
"70","Canoe_K","MUSSEL","mussel",3.18913835134161,"-29.4242156561575",-28.581283238598,"CAN031","Mussel"
"71","Canoe_K","MUSSEL","mussel",2.84126471241905,"-29.7886631917042",-28.5572959944689,"CAN032","Mussel"
"72","Canoe_K","MUSSEL","mussel",2.64532502295371,"-30.1970132607294",-28.0544723489964,"CAN033","Mussel"
"73","Canoe_K","PFF","93",8.69563157772499,"-30.6399523538258",-30.644348699148,"CAN049","Cisco"
"74","Canoe_K","PFF","93",8.55718383944693,"-30.6715685493142",-30.6123635220472,"CAN050","Cisco"
"75","Canoe_K","PFF","93",8.30358042099704,"-30.5880344811985",-30.6331164060867,"CAN051","Cisco"
"76","Canoe_K","PFF","93",8.86993545162795,"-30.8056494493618",-30.7788388615411,"CAN052","Cisco"
"77","Canoe_K","PFF","93",8.87608968330751,"-30.2636319243006",-30.2984693571648,"CAN053","Cisco"
"78","Canoe_K","PFF","93",8.83573090046278,"-31.4527334804421",-31.421894802899,"CAN054","Cisco"
"79","Canoe_K","PFF","93",8.83836088560336,"-31.1092769618565",-30.7530051837528,"CAN055","Cisco"
"80","Canoe_K","PFF","93",9.02478474567376,"-30.6092581467502",-30.5918506360227,"CAN056","Cisco"
"81","Canoe_K","PFF","93",8.16560987519134,"-30.7387069096219",-30.8233964161392,"CAN057","Cisco"
"82","Canoe_K","PFF","93",8.79311867865368,"-30.8585025410326",-30.7576280971215,"CAN058","Cisco"
"83","Canoe_K","PFF","93",8.70234106557704,"-31.2207860941221",-30.9876245728174,"CAN059","Cisco"
"84","Canoe_K","PFF","93",8.78238587056809,"-31.3979633957282",-31.0837383074683,"CAN060","Cisco"
"85","Canoe_K","PFF","93",8.69573366157877,"-30.4640259073789",-30.5422983825545,"CAN061","Cisco"
"86","Canoe_K","PFF","93",8.38328633434894,"-30.519303173812",-30.5512848672486,"CAN062","Cisco"
"87","Canoe_K","PFF","93",9.0015867584794,"-30.0733985496728",-30.1376572980388,"CAN063","Cisco"
"88","Canoe_K","PFF","93",8.91054356170732,"-30.2270118022887",-30.3361715879629,"CAN064","Cisco"
"89","Canoe_K","PFF","93",8.63612423665335,"-30.7052430655825",-30.6325728320126,"CAN065","Cisco"
"90","Canoe_K","PFF","93",8.73730438047482,"-30.6117450959018",-30.6489857203328,"CAN066","Cisco"
